src	dst	amount
U9e42f6dab85a	Cbbf2df46955b	3
U99a0f1f7e6ee	C4d1d582c53c3	1
Be2b46c17f1da	U80e22da6d8c4	1
U8a78048d60f7	B4f14b223b56d	-1
U6661263fb410	C31dac67e313b	1
U7a8d8324441d	U1c285703fc63	-1
C4893c40e481d	Udece0afd9a8b	1
U9e42f6dab85a	B3c467fb437b2	1
Ue328d7da3b59	U000000000000	1
C4b2b6fd8fa9a	U499f24158a40	1
U9e42f6dab85a	C0b19d314485e	-1
U6d2f25cc4264	Ba3c4a280657d	2
U8842ed397bb7	U000000000000	1
U5c827d7de115	U000000000000	1
U8a78048d60f7	Bdf39d0e1daf5	-1
Uf8eb8562f949	U000000000000	1
U7a8d8324441d	C30fef1977b4a	1
Uc35c445325f5	Be29b4af3f7a5	1
U4f530cfe771e	U000000000000	1
Ud826f91f9025	U000000000000	1
Uad577360d968	B5eb4c6be535a	1
U7a8d8324441d	B5eb4c6be535a	1
Uccc3c7395af6	U000000000000	1
C2bbd63b00224	U80e22da6d8c4	1
Uf2b0a6b1d423	Cdcddfb230cb5	3
U9605bd4d1218	Bd7a8bfcf3337	1
U499f24158a40	B9c01ce5718d1	1
U1c634fdd7c82	U000000000000	1
C22e1102411ce	U6661263fb410	1
U7a8d8324441d	B3b3f2ecde430	9
U21769235b28d	U000000000000	1
U6661263fb410	Cf92f90725ffc	1
U80e22da6d8c4	Cd59e6cd7e104	1
Uef7fbf45ef11	C2bbd63b00224	8
U09cf1f359454	Ba5d64165e5d5	-1
U40096feaa029	U000000000000	1
U26aca0e369c7	C9028c7415403	8
U09cf1f359454	B5eb4c6be535a	-1
U8a78048d60f7	B499bfc56e77b	-1
Udece0afd9a8b	U000000000000	1
B9cade9992fb9	U638f5c19326f	1
U3c63a9b6115a	Cf92f90725ffc	1
U3b6ea55b4098	U000000000000	1
U05e4396e2382	U000000000000	1
Ud04c89aaf453	B4f14b223b56d	1
U09cf1f359454	B0e230e9108dd	-1
U499f24158a40	U6d2f25cc4264	1
U79466f73dc0c	Be2b46c17f1da	4
U27847df66cb4	U000000000000	1
Ue7a29d5409f2	Udece0afd9a8b	1
U6d2f25cc4264	Bb78026d99388	-1
U83e829a2e822	B7f628ad203b5	14
U9a2c85753a6d	B3b3f2ecde430	6
Bc896788cd2ef	U1bcba4fd7175	1
Uf2b0a6b1d423	C67e4476fda28	6
C9028c7415403	Udece0afd9a8b	1
U8a78048d60f7	Bd49e3dac97b0	-1
U01814d1ec9ff	U499f24158a40	1
Uf5096f6ab14e	C9462ca240ceb	1
U1bcba4fd7175	B0e230e9108dd	-1
Uadeb43da4abb	B0e230e9108dd	4
U9a2c85753a6d	Uf5096f6ab14e	1
U1bcba4fd7175	C264c56d501db	1
Ue7a29d5409f2	Uf2b0a6b1d423	1
U8a78048d60f7	B73a44e2bbd44	1
Ucb84c094edba	C2cb023b6bcef	1
Udfbfcd087e6b	U000000000000	1
U3bf4a5894df1	U000000000000	1
Ubebfe0c8fc29	Bfefe4e25c870	3
U9e42f6dab85a	C070e739180d6	2
U6d2f25cc4264	C6f84810d3cd9	1
U14a3c81256ab	B9c01ce5718d1	0
Cd5983133fb67	U8a78048d60f7	1
U675d1026fe95	U000000000000	1
U0cd6bd2dde4f	B75a44a52fa29	1
B0a87a669fc28	U34252014c05b	1
Ue7a29d5409f2	Ce1a7d8996eb0	5
